1613928300000,57697.87000000,57699.97000000,57582.01000000,57625.79000000,31.67446800,1613928599999,1825121.89710251,2017,15.04693900,867063.58341159,0
1613928600000,57625.79000000,57651.75000000,57583.08000000,57597.63000000,16.99895000,1613928899999,979296.16988553,1291,7.63397800,439813.67446171,0
1613928900000,57597.63000000,57613.70000000,57481.02000000,57511.89000000,59.54873500,1613929199999,3427606.55855385,2052,31.68128700,1823829.05483444,0
1613929200000,57511.89000000,57579.62000000,57390.64000000,57526.87000000,59.43273400,1613929499999,3416672.98993664,2542,28.74450900,1652536.37270847,0
1613929500000,57523.57000000,57594.59000000,57400.00000000,57453.39000000,33.24683000,1613929799999,1912175.40132866,1932,16.55778200,952386.75791676,0
1613929800000,57453.73000000,57520.03000000,57450.03000000,57495.61000000,20.80199100,1613930099999,1195907.00877454,1405,9.41120100,541066.11780054,0
1613930100000,57495.62000000,57583.41000000,57469.83000000,57522.16000000,27.17886600,1613930399999,1563162.20428244,1339,12.87360800,740476.16150807,0
1613930400000,57522.16000000,57598.41000000,57420.37000000,57456.99000000,38.77870200,1613930699999,2230788.17770357,1917,16.63374300,956791.74498226,0
1613930700000,57456.98000000,57492.29000000,57436.64000000,57463.09000000,20.41162400,1613930999999,1173101.76552811,1381,6.86216500,394343.99365825,0
1613931000000,57463.09000000,57466.48000000,57367.39000000,57435.81000000,44.13388700,1613931299999,2533596.31132265,1564,15.66943600,899680.77723096,0
1613931300000,57435.82000000,57493.02000000,57414.27000000,57426.47000000,15.97061400,1613931599999,917515.78700893,1156,11.62705700,667974.91900515,0
1613931600000,57426.47000000,57538.33000000,57399.05000000,57505.80000000,21.05210300,1613931899999,1210272.51977974,1477,9.81047900,563966.82126582,0
1613931900000,57505.79000000,57559.99000000,57499.69000000,57499.69000000,21.17673100,1613932199999,1218392.01150950,1070,11.71527100,674112.07624583,0
1613932200000,57497.66000000,57663.57000000,57497.66000000,57663.57000000,22.72827700,1613932499999,1308884.13888847,1589,12.37378500,712607.51219314,0
1613932500000,57664.85000000,57802.75000000,57639.43000000,57726.76000000,87.98092000,1613932799999,5080687.72327257,2674,49.32367700,2848442.97841855,0
1613932800000,57727.48000000,57816.31000000,57722.80000000,57814.95000000,63.81772900,1613933099999,3687425.08836097,1688,44.99676200,2600043.08641891,0
1613933100000,57814.94000000,58087.58000000,57769.63000000,58036.84000000,216.88225100,1613933399999,12572557.67750424,5925,131.18835500,7605045.00376354,0
1613933400000,58036.84000000,58300.00000000,58036.83000000,58211.57000000,171.88551800,1613933699999,9999703.20023847,4159,85.12387300,4951218.46989973,0
1613933700000,58211.57000000,58244.91000000,58131.49000000,58201.88000000,48.05792800,1613933999999,2796626.41416843,2165,22.64534400,1317963.04813238,0
1613934000000,58201.89000000,58337.78000000,58168.00000000,58334.58000000,80.23200300,1613934299999,4673158.77965787,2756,40.70176300,2370585.77425548,0
1613934300000,58334.59000000,58362.91000000,58200.00000000,58350.46000000,63.25712300,1613934599999,3688423.66477579,2842,36.21356800,2111580.85338197,0
1613934600000,58342.47000000,58357.96000000,58246.83000000,58279.99000000,40.42233800,1613934899999,2356538.20091968,1756,16.85443200,982584.51641643,0
1613934900000,58279.99000000,58313.27000000,58075.96000000,58147.37000000,67.43283500,1613935199999,3923726.19476497,2787,28.57515100,1662924.34185387,0
1613935200000,58144.89000000,58215.20000000,57969.25000000,58189.78000000,62.86012000,1613935499999,3652263.01120165,2780,30.85753000,1792925.13670412,0
1613935500000,58189.79000000,58287.91000000,58186.46000000,58224.43000000,29.62778000,1613935799999,1725114.16798203,1840,16.58659800,965803.58168073,0
1613935800000,58224.44000000,58272.59000000,58186.49000000,58206.77000000,45.54905400,1613936099999,2652677.00750322,1428,29.93677700,1743410.49681249,0
1613936100000,58206.77000000,58206.77000000,58067.51000000,58121.00000000,69.11896400,1613936399999,4020489.27840362,2198,28.28126300,1645306.21193859,0
1613936400000,58121.00000000,58121.00000000,57942.40000000,58030.00000000,40.11164700,1613936699999,2327642.61689427,2394,17.65011100,1024215.16586334,0
1613936700000,58029.15000000,58113.06000000,58020.94000000,58089.53000000,21.25541800,1613936999999,1234473.09235059,1335,11.71601600,680423.30443796,0
1613937000000,58085.48000000,58145.52000000,58061.85000000,58105.80000000,24.03588200,1613937299999,1396283.32949527,1199,18.87875400,1096677.20671508,0
1613937300000,58105.80000000,58109.86000000,58031.13000000,58093.60000000,25.79693200,1613937599999,1498214.90365006,1382,11.73133400,681292.87206636,0
1613937600000,58093.60000000,58138.02000000,58059.74000000,58071.24000000,21.72393600,1613937899999,1262227.12835378,1399,10.80123200,627605.88908921,0
1613937900000,58073.48000000,58075.94000000,57700.00000000,57907.64000000,90.54072500,1613938199999,5241990.71805171,3369,38.07764700,2204881.89753234,0
1613938200000,57914.76000000,58168.00000000,57903.18000000,58115.96000000,52.83937500,1613938499999,3069282.62677533,2122,30.57578000,1775862.92428462,0
1613938500000,58115.96000000,58258.55000000,58115.96000000,58225.81000000,29.18680500,1613938799999,1698602.16994366,1778,21.68439000,1261925.39210549,0
1613938800000,58226.48000000,58258.92000000,58134.04000000,58144.21000000,26.90789300,1613939099999,1566215.46630720,1518,16.78954600,977358.10965234,0
1613939100000,58144.21000000,58221.74000000,58111.92000000,58169.98000000,22.90976200,1613939399999,1332677.11511606,1445,10.57183200,614940.70000353,0
1613939400000,58169.98000000,58169.98000000,57988.60000000,58027.28000000,24.67230700,1613939699999,1433070.64227468,1851,9.18588200,533641.79935010,0
